040  03355 |Loss: 0.336 | Acc: 84.000% 
040  03356 |Loss: 0.371 | Acc: 86.000% 
040  03357 |Loss: 0.335 | Acc: 86.000% 
040  03358 |Loss: 0.323 | Acc: 88.000% 
040  03359 |Loss: 0.316 | Acc: 88.000% 
040  03360 |Loss: 0.307 | Acc: 89.000% 
040  03361 |Loss: 0.321 | Acc: 88.000% 
040  03362 |Loss: 0.336 | Acc: 88.000% 
040  03363 |Loss: 0.324 | Acc: 88.000% 
040  03364 |Loss: 0.309 | Acc: 89.000% 
040  03365 |Loss: 0.309 | Acc: 89.000% 
040  03366 |Loss: 0.317 | Acc: 88.000% 
040  03367 |Loss: 0.316 | Acc: 88.000% 
040  03368 |Loss: 0.314 | Acc: 88.000% 
040  03369 |Loss: 0.304 | Acc: 88.000% 
040  03370 |Loss: 0.300 | Acc: 89.000% 
040  03371 |Loss: 0.298 | Acc: 89.000% 
040  03372 |Loss: 0.292 | Acc: 89.000% 
040  03373 |Loss: 0.298 | Acc: 89.000% 
040  03374 |Loss: 0.298 | Acc: 88.000% 
040  03375 |Loss: 0.302 | Acc: 88.000% 
040  03376 |Loss: 0.299 | Acc: 88.000% 
040  03377 |Loss: 0.298 | Acc: 88.000% 
040  03378 |Loss: 0.297 | Acc: 88.000% 
040  03379 |Loss: 0.296 | Acc: 88.000% 
040  03380 |Loss: 0.297 | Acc: 88.000% 
040  03381 |Loss: 0.296 | Acc: 88.000% 
040  03382 |Loss: 0.293 | Acc: 88.000% 
040  03383 |Loss: 0.291 | Acc: 88.000% 
040  03384 |Loss: 0.294 | Acc: 88.000% 
040  03385 |Loss: 0.291 | Acc: 88.000% 
040  03386 |Loss: 0.293 | Acc: 89.000% 
040  03387 |Loss: 0.294 | Acc: 89.000% 
040  03388 |Loss: 0.294 | Acc: 89.000% 
040  03389 |Loss: 0.291 | Acc: 89.000% 
040  03390 |Loss: 0.290 | Acc: 89.000% 
040  03391 |Loss: 0.290 | Acc: 89.000% 
040  03392 |Loss: 0.291 | Acc: 89.000% 
040  03393 |Loss: 0.295 | Acc: 88.000% 
040  03394 |Loss: 0.297 | Acc: 88.000% 
040  03395 |Loss: 0.293 | Acc: 89.000% 
040  03396 |Loss: 0.295 | Acc: 88.000% 
040  03397 |Loss: 0.295 | Acc: 88.000% 
040  03398 |Loss: 0.295 | Acc: 89.000% 
040  03399 |Loss: 0.300 | Acc: 88.000% 
040  03400 |Loss: 0.298 | Acc: 89.000% 
040  03401 |Loss: 0.297 | Acc: 88.000% 
040  03402 |Loss: 0.296 | Acc: 89.000% 
040  03403 |Loss: 0.296 | Acc: 89.000% 
040  03404 |Loss: 0.298 | Acc: 88.000% 
040  03405 |Loss: 0.295 | Acc: 88.000% 
040  03406 |Loss: 0.295 | Acc: 88.000% 
040  03407 |Loss: 0.294 | Acc: 89.000% 
040  03408 |Loss: 0.299 | Acc: 88.000% 
040  03409 |Loss: 0.300 | Acc: 88.000% 
040  03410 |Loss: 0.299 | Acc: 88.000% 
040  03411 |Loss: 0.305 | Acc: 88.000% 
040  03412 |Loss: 0.305 | Acc: 88.000% 
040  03413 |Loss: 0.304 | Acc: 88.000% 
040  03414 |Loss: 0.303 | Acc: 88.000% 
040  03415 |Loss: 0.301 | Acc: 88.000% 
040  03416 |Loss: 0.300 | Acc: 89.000% 
040  03417 |Loss: 0.302 | Acc: 88.000% 
040  03418 |Loss: 0.302 | Acc: 88.000% 
040  03419 |Loss: 0.301 | Acc: 88.000% 
040  03420 |Loss: 0.299 | Acc: 89.000% 
040  03421 |Loss: 0.298 | Acc: 89.000% 
040  03422 |Loss: 0.297 | Acc: 89.000% 
040  03423 |Loss: 0.296 | Acc: 89.000% 
040  03424 |Loss: 0.297 | Acc: 89.000% 
040  03425 |Loss: 0.296 | Acc: 89.000% 
040  03426 |Loss: 0.297 | Acc: 89.000% 
040  03427 |Loss: 0.297 | Acc: 89.000% 
040  03428 |Loss: 0.297 | Acc: 89.000% 
040  03429 |Loss: 0.298 | Acc: 89.000% 
040  03430 |Loss: 0.296 | Acc: 89.000% 
040  03431 |Loss: 0.296 | Acc: 89.000% 
040  03432 |Loss: 0.296 | Acc: 89.000% 
040  03433 |Loss: 0.295 | Acc: 89.000% 
040  03434 |Loss: 0.296 | Acc: 89.000% 
040  03435 |Loss: 0.298 | Acc: 89.000% 
040  03436 |Loss: 0.297 | Acc: 89.000% 
040  03437 |Loss: 0.298 | Acc: 89.000% 
040  03438 |Loss: 0.299 | Acc: 89.000% 
040  03439 |Loss: 0.298 | Acc: 89.000% 
040  03440 |Loss: 0.297 | Acc: 89.000% 
041  03441 |Loss: 0.195 | Acc: 92.000% 
041  03442 |Loss: 0.297 | Acc: 87.000% 
041  03443 |Loss: 0.357 | Acc: 84.000% 
041  03444 |Loss: 0.333 | Acc: 87.000% 
041  03445 |Loss: 0.336 | Acc: 86.000% 
