001  00001 |Loss: 1.421 | Acc: 26.000% 
001  00002 |Loss: 1.567 | Acc: 27.000% 
001  00003 |Loss: 1.577 | Acc: 32.000% 
001  00004 |Loss: 1.900 | Acc: 29.000% 
001  00005 |Loss: 1.873 | Acc: 32.000% 
001  00006 |Loss: 1.948 | Acc: 30.000% 
001  00007 |Loss: 1.946 | Acc: 30.000% 
001  00008 |Loss: 1.900 | Acc: 30.000% 
001  00009 |Loss: 1.874 | Acc: 30.000% 
001  00010 |Loss: 1.871 | Acc: 30.000% 
001  00011 |Loss: 1.826 | Acc: 32.000% 
001  00012 |Loss: 1.806 | Acc: 32.000% 
001  00013 |Loss: 1.813 | Acc: 32.000% 
001  00014 |Loss: 1.808 | Acc: 32.000% 
001  00015 |Loss: 1.789 | Acc: 32.000% 
001  00016 |Loss: 1.771 | Acc: 32.000% 
001  00017 |Loss: 1.755 | Acc: 32.000% 
001  00018 |Loss: 1.735 | Acc: 33.000% 
001  00019 |Loss: 1.723 | Acc: 32.000% 
001  00020 |Loss: 1.696 | Acc: 34.000% 
001  00021 |Loss: 1.676 | Acc: 35.000% 
001  00022 |Loss: 1.666 | Acc: 35.000% 
001  00023 |Loss: 1.650 | Acc: 35.000% 
001  00024 |Loss: 1.633 | Acc: 36.000% 
001  00025 |Loss: 1.607 | Acc: 37.000% 
001  00026 |Loss: 1.607 | Acc: 36.000% 
001  00027 |Loss: 1.593 | Acc: 36.000% 
001  00028 |Loss: 1.584 | Acc: 37.000% 
001  00029 |Loss: 1.575 | Acc: 37.000% 
001  00030 |Loss: 1.567 | Acc: 38.000% 
001  00031 |Loss: 1.551 | Acc: 38.000% 
001  00032 |Loss: 1.540 | Acc: 38.000% 
001  00033 |Loss: 1.530 | Acc: 38.000% 
001  00034 |Loss: 1.517 | Acc: 39.000% 
001  00035 |Loss: 1.511 | Acc: 39.000% 
001  00036 |Loss: 1.500 | Acc: 39.000% 
001  00037 |Loss: 1.489 | Acc: 40.000% 
001  00038 |Loss: 1.484 | Acc: 40.000% 
001  00039 |Loss: 1.471 | Acc: 40.000% 
001  00040 |Loss: 1.470 | Acc: 40.000% 
001  00041 |Loss: 1.473 | Acc: 40.000% 
001  00042 |Loss: 1.464 | Acc: 40.000% 
001  00043 |Loss: 1.454 | Acc: 41.000% 
001  00044 |Loss: 1.444 | Acc: 41.000% 
001  00045 |Loss: 1.438 | Acc: 41.000% 
001  00046 |Loss: 1.433 | Acc: 41.000% 
001  00047 |Loss: 1.428 | Acc: 42.000% 
001  00048 |Loss: 1.422 | Acc: 42.000% 
001  00049 |Loss: 1.414 | Acc: 42.000% 
001  00050 |Loss: 1.413 | Acc: 42.000% 
001  00051 |Loss: 1.406 | Acc: 42.000% 
001  00052 |Loss: 1.400 | Acc: 43.000% 
001  00053 |Loss: 1.397 | Acc: 43.000% 
001  00054 |Loss: 1.396 | Acc: 42.000% 
001  00055 |Loss: 1.389 | Acc: 43.000% 
001  00056 |Loss: 1.385 | Acc: 43.000% 
001  00057 |Loss: 1.381 | Acc: 43.000% 
001  00058 |Loss: 1.376 | Acc: 43.000% 
001  00059 |Loss: 1.375 | Acc: 43.000% 
001  00060 |Loss: 1.371 | Acc: 43.000% 
001  00061 |Loss: 1.367 | Acc: 43.000% 
001  00062 |Loss: 1.365 | Acc: 43.000% 
001  00063 |Loss: 1.362 | Acc: 43.000% 
001  00064 |Loss: 1.358 | Acc: 44.000% 
001  00065 |Loss: 1.355 | Acc: 44.000% 
001  00066 |Loss: 1.352 | Acc: 44.000% 
001  00067 |Loss: 1.348 | Acc: 44.000% 
001  00068 |Loss: 1.344 | Acc: 45.000% 
001  00069 |Loss: 1.341 | Acc: 45.000% 
001  00070 |Loss: 1.337 | Acc: 45.000% 
001  00071 |Loss: 1.331 | Acc: 45.000% 
001  00072 |Loss: 1.327 | Acc: 46.000% 
001  00073 |Loss: 1.324 | Acc: 46.000% 
001  00074 |Loss: 1.324 | Acc: 46.000% 
001  00075 |Loss: 1.320 | Acc: 46.000% 
001  00076 |Loss: 1.317 | Acc: 46.000% 
001  00077 |Loss: 1.314 | Acc: 46.000% 
001  00078 |Loss: 1.309 | Acc: 46.000% 
001  00079 |Loss: 1.307 | Acc: 46.000% 
001  00080 |Loss: 1.303 | Acc: 46.000% 
001  00081 |Loss: 1.301 | Acc: 46.000% 
001  00082 |Loss: 1.300 | Acc: 46.000% 
001  00083 |Loss: 1.297 | Acc: 46.000% 
001  00084 |Loss: 1.293 | Acc: 47.000% 
001  00085 |Loss: 1.290 | Acc: 47.000% 
001  00086 |Loss: 1.287 | Acc: 47.000% 
002  00087 |Loss: 1.044 | Acc: 54.000% 
002  00088 |Loss: 1.086 | Acc: 55.000% 
002  00089 |Loss: 1.054 | Acc: 56.000% 
002  00090 |Loss: 1.078 | Acc: 55.000% 
002  00091 |Loss: 1.074 | Acc: 57.000% 
002  00092 |Loss: 1.057 | Acc: 58.000% 
002  00093 |Loss: 1.045 | Acc: 59.000% 
002  00094 |Loss: 1.034 | Acc: 59.000% 
002  00095 |Loss: 1.025 | Acc: 59.000% 
002  00096 |Loss: 1.023 | Acc: 59.000% 
002  00097 |Loss: 1.025 | Acc: 58.000% 
002  00098 |Loss: 1.027 | Acc: 58.000% 
002  00099 |Loss: 1.033 | Acc: 59.000% 
002  00100 |Loss: 1.048 | Acc: 58.000% 
002  00101 |Loss: 1.045 | Acc: 58.000% 
002  00102 |Loss: 1.045 | Acc: 58.000% 
002  00103 |Loss: 1.043 | Acc: 57.000% 
002  00104 |Loss: 1.045 | Acc: 57.000% 
002  00105 |Loss: 1.044 | Acc: 57.000% 
002  00106 |Loss: 1.031 | Acc: 58.000% 
002  00107 |Loss: 1.028 | Acc: 58.000% 
002  00108 |Loss: 1.033 | Acc: 58.000% 
002  00109 |Loss: 1.034 | Acc: 57.000% 
002  00110 |Loss: 1.033 | Acc: 58.000% 
002  00111 |Loss: 1.024 | Acc: 58.000% 
002  00112 |Loss: 1.025 | Acc: 59.000% 
002  00113 |Loss: 1.018 | Acc: 59.000% 
002  00114 |Loss: 1.018 | Acc: 59.000% 
002  00115 |Loss: 1.015 | Acc: 59.000% 
002  00116 |Loss: 1.003 | Acc: 60.000% 
002  00117 |Loss: 0.998 | Acc: 60.000% 
002  00118 |Loss: 0.990 | Acc: 60.000% 
002  00119 |Loss: 0.995 | Acc: 60.000% 
002  00120 |Loss: 0.991 | Acc: 60.000% 
002  00121 |Loss: 0.986 | Acc: 61.000% 
002  00122 |Loss: 0.990 | Acc: 60.000% 
002  00123 |Loss: 0.986 | Acc: 61.000% 
002  00124 |Loss: 0.985 | Acc: 60.000% 
002  00125 |Loss: 0.986 | Acc: 60.000% 
002  00126 |Loss: 0.984 | Acc: 60.000% 
002  00127 |Loss: 0.984 | Acc: 60.000% 
002  00128 |Loss: 0.983 | Acc: 60.000% 
002  00129 |Loss: 0.986 | Acc: 60.000% 
002  00130 |Loss: 0.990 | Acc: 60.000% 
002  00131 |Loss: 0.988 | Acc: 60.000% 
002  00132 |Loss: 0.986 | Acc: 60.000% 
002  00133 |Loss: 0.984 | Acc: 60.000% 
002  00134 |Loss: 0.985 | Acc: 60.000% 
002  00135 |Loss: 0.982 | Acc: 60.000% 
002  00136 |Loss: 0.980 | Acc: 61.000% 
002  00137 |Loss: 0.982 | Acc: 60.000% 
002  00138 |Loss: 0.983 | Acc: 60.000% 
002  00139 |Loss: 0.983 | Acc: 60.000% 
002  00140 |Loss: 0.983 | Acc: 60.000% 
002  00141 |Loss: 0.983 | Acc: 60.000% 
